name,url,rookie_year,rookie_age,years_played
Carmelo Anthony*,https://www.basketball-reference.com/players/a/anthoca01.html,2004,19,19
Leandro Barbosa,https://www.basketball-reference.com/players/b/barbole01.html,2004,21,14
Matt Barnes,https://www.basketball-reference.com/players/b/barnema02.html,2004,23,14
Steve Blake,https://www.basketball-reference.com/players/b/blakest01.html,2004,23,13
Keith Bogans,https://www.basketball-reference.com/players/b/boganke01.html,2004,23,11
Chris Bosh*,https://www.basketball-reference.com/players/b/boshch01.html,2004,19,13
Matt Carroll,https://www.basketball-reference.com/players/c/carroma01.html,2004,23,10
Marquis Daniels,https://www.basketball-reference.com/players/d/daniema01.html,2004,23,10
Boris Diaw,https://www.basketball-reference.com/players/d/diawbo01.html,2004,21,14
Willie Green,https://www.basketball-reference.com/players/g/greenwi01.html,2004,22,12
Udonis Haslem,https://www.basketball-reference.com/players/h/hasleud01.html,2004,23,20
Kirk Hinrich,https://www.basketball-reference.com/players/h/hinriki01.html,2004,23,13
Josh Howard,https://www.basketball-reference.com/players/h/howarjo01.html,2004,23,10
LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html,2004,19,22
Dahntay Jones,https://www.basketball-reference.com/players/j/jonesda02.html,2004,23,13
James Jones,https://www.basketball-reference.com/players/j/jonesja02.html,2004,23,14
Chris Kaman,https://www.basketball-reference.com/players/k/kamanch01.html,2004,21,13
Kyle Korver,https://www.basketball-reference.com/players/k/korveky01.html,2004,22,17
Darko Miličić,https://www.basketball-reference.com/players/m/milicda01.html,2004,18,10
Travis Outlaw,https://www.basketball-reference.com/players/o/outlatr01.html,2004,19,11
Zaza Pachulia,https://www.basketball-reference.com/players/p/pachuza01.html,2004,19,16
Sasha Pavlović,https://www.basketball-reference.com/players/p/pavloal01.html,2004,20,10
Kendrick Perkins,https://www.basketball-reference.com/players/p/perkike01.html,2004,19,14
Mickaël Piétrus,https://www.basketball-reference.com/players/p/pietrmi01.html,2004,21,10
Luke Ridnour,https://www.basketball-reference.com/players/r/ridnolu01.html,2004,22,12
Dwyane Wade*,https://www.basketball-reference.com/players/w/wadedw01.html,2004,22,16
Luke Walton,https://www.basketball-reference.com/players/w/waltolu01.html,2004,23,10
David West,https://www.basketball-reference.com/players/w/westda01.html,2004,23,15
Mo Williams,https://www.basketball-reference.com/players/w/willima01.html,2004,21,13
Tony Allen,https://www.basketball-reference.com/players/a/allento01.html,2005,23,14
Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html,2005,19,18
Andris Biedriņš,https://www.basketball-reference.com/players/b/biedran01.html,2005,18,10
Matt Bonner,https://www.basketball-reference.com/players/b/bonnema01.html,2005,24,12
Nick Collison,https://www.basketball-reference.com/players/c/collini01.html,2005,24,14
Luol Deng,https://www.basketball-reference.com/players/d/denglu01.html,2005,19,15
Ben Gordon,https://www.basketball-reference.com/players/g/gordobe01.html,2005,21,11
Devin Harris,https://www.basketball-reference.com/players/h/harride01.html,2005,21,15
Dwight Howard*,https://www.basketball-reference.com/players/h/howardw01.html,2005,19,18
Kris Humphries,https://www.basketball-reference.com/players/h/humphkr01.html,2005,19,13
Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html,2005,21,19
Royal Ivey,https://www.basketball-reference.com/players/i/iveyro01.html,2005,23,10
Al Jefferson,https://www.basketball-reference.com/players/j/jeffeal01.html,2005,20,14
Shaun Livingston,https://www.basketball-reference.com/players/l/livinsh01.html,2005,19,14
Kevin Martin,https://www.basketball-reference.com/players/m/martike02.html,2005,21,12
Jameer Nelson,https://www.basketball-reference.com/players/n/nelsoja01.html,2005,22,14
Emeka Okafor,https://www.basketball-reference.com/players/o/okafoem01.html,2005,22,10
J.R. Smith,https://www.basketball-reference.com/players/s/smithjr01.html,2005,19,16
Josh Smith,https://www.basketball-reference.com/players/s/smithjo03.html,2005,19,13
Sebastian Telfair,https://www.basketball-reference.com/players/t/telfase01.html,2005,19,10
Beno Udrih,https://www.basketball-reference.com/players/u/udrihbe01.html,2005,22,13
Anderson Varejão,https://www.basketball-reference.com/players/v/varejan01.html,2005,22,14
Sasha Vujačić,https://www.basketball-reference.com/players/v/vujacsa01.html,2005,20,10
Damien Wilkins,https://www.basketball-reference.com/players/w/wilkida02.html,2005,25,10
Dorell Wright,https://www.basketball-reference.com/players/w/wrighdo01.html,2005,19,11
Brandon Bass,https://www.basketball-reference.com/players/b/bassbr01.html,2006,20,12
Andrew Bogut,https://www.basketball-reference.com/players/b/bogutan01.html,2006,21,14
José Calderón,https://www.basketball-reference.com/players/c/caldejo01.html,2006,24,14
Monta Ellis,https://www.basketball-reference.com/players/e/ellismo01.html,2006,20,12
Raymond Felton,https://www.basketball-reference.com/players/f/feltora01.html,2006,21,14
Channing Frye,https://www.basketball-reference.com/players/f/fryech01.html,2006,22,13
Francisco García,https://www.basketball-reference.com/players/g/garcifr01.html,2006,24,10
Danny Granger,https://www.basketball-reference.com/players/g/grangda01.html,2006,22,10
Gerald Green,https://www.basketball-reference.com/players/g/greenge01.html,2006,20,12
Chuck Hayes,https://www.basketball-reference.com/players/h/hayesch01.html,2006,22,11
Jarrett Jack,https://www.basketball-reference.com/players/j/jackja01.html,2006,22,13
Amir Johnson,https://www.basketball-reference.com/players/j/johnsam01.html,2006,18,14
David Lee,https://www.basketball-reference.com/players/l/leeda02.html,2006,22,12
Jason Maxiell,https://www.basketball-reference.com/players/m/maxieja01.html,2006,22,10
C.J. Miles,https://www.basketball-reference.com/players/m/milescj01.html,2006,18,16
Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html,2006,20,20
Ronnie Price,https://www.basketball-reference.com/players/p/pricero01.html,2006,22,12
Nate Robinson,https://www.basketball-reference.com/players/r/robinna01.html,2006,21,11
Ronny Turiaf,https://www.basketball-reference.com/players/t/turiaro01.html,2006,23,10
Charlie Villanueva,https://www.basketball-reference.com/players/v/villach01.html,2006,21,11
Martell Webster,https://www.basketball-reference.com/players/w/webstma02.html,2006,19,10
Deron Williams,https://www.basketball-reference.com/players/w/willide01.html,2006,21,12
Lou Williams,https://www.basketball-reference.com/players/w/willilo02.html,2006,19,17
Marvin Williams,https://www.basketball-reference.com/players/w/willima02.html,2006,19,15
LaMarcus Aldridge,https://www.basketball-reference.com/players/a/aldrila01.html,2007,21,16
Lou Amundson,https://www.basketball-reference.com/players/a/amundlo01.html,2007,24,10
J.J. Barea,https://www.basketball-reference.com/players/b/bareajo01.html,2007,22,14
Andrea Bargnani,https://www.basketball-reference.com/players/b/bargnan01.html,2007,21,10
Jordan Farmar,https://www.basketball-reference.com/players/f/farmajo01.html,2007,20,10
Randy Foye,https://www.basketball-reference.com/players/f/foyera01.html,2007,23,11
Rudy Gay,https://www.basketball-reference.com/players/g/gayru01.html,2007,20,17
Ryan Hollins,https://www.basketball-reference.com/players/h/holliry01.html,2007,22,10
Ersan İlyasova,https://www.basketball-reference.com/players/i/ilyaser01.html,2007,19,13
Kyle Lowry,https://www.basketball-reference.com/players/l/lowryky01.html,2007,20,19
Paul Millsap,https://www.basketball-reference.com/players/m/millspa01.html,2007,21,16
Steve Novak,https://www.basketball-reference.com/players/n/novakst01.html,2007,23,11
JJ Redick,https://www.basketball-reference.com/players/r/redicjj01.html,2007,22,15
Rajon Rondo,https://www.basketball-reference.com/players/r/rondora01.html,2007,20,16
Thabo Sefolosha,https://www.basketball-reference.com/players/s/sefolth01.html,2007,22,14
P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html,2007,21,14
Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,2008,22,11
Joel Anthony,https://www.basketball-reference.com/players/a/anthojo01.html,2008,25,10
Marco Belinelli,https://www.basketball-reference.com/players/b/belinma01.html,2008,21,13
Corey Brewer,https://www.basketball-reference.com/players/b/breweco01.html,2008,21,13
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,2008,23,10
Wilson Chandler,https://www.basketball-reference.com/players/c/chandwi01.html,2008,20,12
Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html,2008,20,18
Jared Dudley,https://www.basketball-reference.com/players/d/dudleja01.html,2008,22,14
Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html,2008,19,17
Marcin Gortat,https://www.basketball-reference.com/players/g/gortama01.html,2008,23,12
Jeff Green,https://www.basketball-reference.com/players/g/greenje02.html,2008,21,17
Spencer Hawes,https://www.basketball-reference.com/players/h/hawessp01.html,2008,19,10
Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,2008,21,18
Ian Mahinmi,https://www.basketball-reference.com/players/m/mahinia01.html,2008,21,12
Josh McRoberts,https://www.basketball-reference.com/players/m/mcrobjo01.html,2008,20,11
Joakim Noah,https://www.basketball-reference.com/players/n/noahjo01.html,2008,22,13
Luis Scola,https://www.basketball-reference.com/players/s/scolalu01.html,2008,27,10
Ramon Sessions,https://www.basketball-reference.com/players/s/sessira01.html,2008,21,11
Jason Smith,https://www.basketball-reference.com/players/s/smithja02.html,2008,21,11
Rodney Stuckey,https://www.basketball-reference.com/players/s/stuckro01.html,2008,21,10
C.J. Watson,https://www.basketball-reference.com/players/w/watsocj01.html,2008,23,10
Brandan Wright,https://www.basketball-reference.com/players/w/wrighbr03.html,2008,20,10
Nick Young,https://www.basketball-reference.com/players/y/youngni01.html,2008,22,12
Thaddeus Young,https://www.basketball-reference.com/players/y/youngth01.html,2008,19,17
Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,2009,20,12
D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,2009,21,14
Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html,2009,20,17
Jerryd Bayless,https://www.basketball-reference.com/players/b/bayleje01.html,2009,20,11
Michael Beasley,https://www.basketball-reference.com/players/b/beaslmi01.html,2009,20,11
Goran Dragić,https://www.basketball-reference.com/players/d/dragigo01.html,2009,22,15
Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html,2009,20,14
Marc Gasol,https://www.basketball-reference.com/players/g/gasolma01.html,2009,24,13
Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html,2009,20,17
George Hill,https://www.basketball-reference.com/players/h/hillge01.html,2009,22,15
DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html,2009,20,17
Kosta Koufos,https://www.basketball-reference.com/players/k/koufoko01.html,2009,19,11
Courtney Lee,https://www.basketball-reference.com/players/l/leeco01.html,2009,23,12
Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html,2009,20,17
Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html,2009,20,16
Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html,2009,20,17
Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html,2009,22,12
JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,2009,21,16
Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html,2009,20,15
Marreese Speights,https://www.basketball-reference.com/players/s/speigma01.html,2009,21,10
Anthony Tolliver,https://www.basketball-reference.com/players/t/tollian01.html,2009,23,13
Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,2009,20,17
DeMarre Carroll,https://www.basketball-reference.com/players/c/carrode01.html,2010,23,11
Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html,2010,21,10
Darren Collison,https://www.basketball-reference.com/players/c/collida01.html,2010,22,11
Dante Cunningham,https://www.basketball-reference.com/players/c/cunnida01.html,2010,22,10
