name,url,rookie_year,rookie_age,years_played
Toney Douglas,https://www.basketball-reference.com/players/d/douglto01.html,2010,23,8
Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html,2010,22,13
Tyreke Evans,https://www.basketball-reference.com/players/e/evansty01.html,2010,20,10
Jonny Flynn,https://www.basketball-reference.com/players/f/flynnjo01.html,2010,20,3
Sundiata Gaines,https://www.basketball-reference.com/players/g/gainesu01.html,2010,23,3
Alonzo Gee,https://www.basketball-reference.com/players/g/geeal01.html,2010,22,8
Taj Gibson,https://www.basketball-reference.com/players/g/gibsota01.html,2010,24,16
Trey Gilder,https://www.basketball-reference.com/players/g/gildetr01.html,2010,25,1
Danny Green,https://www.basketball-reference.com/players/g/greenda02.html,2010,22,15
Taylor Griffin,https://www.basketball-reference.com/players/g/griffta01.html,2010,23,1
Tyler Hansbrough,https://www.basketball-reference.com/players/h/hansbty01.html,2010,24,7
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,2010,20,16
Gerald Henderson,https://www.basketball-reference.com/players/h/hendege02.html,2010,22,8
Jordan Hill,https://www.basketball-reference.com/players/h/hilljo01.html,2010,22,8
Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,2010,19,16
Lester Hudson,https://www.basketball-reference.com/players/h/hudsole01.html,2010,25,4
Chris Hunter,https://www.basketball-reference.com/players/h/huntech01.html,2010,25,1
Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html,2010,20,14
Cedric Jackson,https://www.basketball-reference.com/players/j/jacksce01.html,2010,23,1
Othyus Jeffers,https://www.basketball-reference.com/players/j/jeffeot01.html,2010,24,3
Brandon Jennings,https://www.basketball-reference.com/players/j/jennibr01.html,2010,20,9
Jonas Jerebko,https://www.basketball-reference.com/players/j/jerebjo01.html,2010,22,9
James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html,2010,22,16
Oliver Lafayette,https://www.basketball-reference.com/players/l/lafayol01.html,2010,25,1
Marcus Landry,https://www.basketball-reference.com/players/l/landrma01.html,2010,24,1
Ty Lawson,https://www.basketball-reference.com/players/l/lawsoty01.html,2010,22,8
Wesley Matthews,https://www.basketball-reference.com/players/m/matthwe02.html,2010,23,15
Eric Maynor,https://www.basketball-reference.com/players/m/maynoer01.html,2010,22,5
Jodie Meeks,https://www.basketball-reference.com/players/m/meeksjo01.html,2010,22,10
Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html,2010,21,16
Byron Mullens,https://www.basketball-reference.com/players/m/mulleby01.html,2010,20,5
A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,2010,23,6
DaJuan Summers,https://www.basketball-reference.com/players/s/summeda01.html,2010,22,4
Jermaine Taylor,https://www.basketball-reference.com/players/t/tayloje02.html,2010,23,2
Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html,2010,21,12
Garrett Temple,https://www.basketball-reference.com/players/t/templga01.html,2010,23,15
Hasheem Thabeet,https://www.basketball-reference.com/players/t/thabeha01.html,2010,22,5
Marcus Thornton,https://www.basketball-reference.com/players/t/thornma01.html,2010,22,8
Reggie Williams,https://www.basketball-reference.com/players/w/willire02.html,2010,23,7
Terrence Williams,https://www.basketball-reference.com/players/w/willite01.html,2010,22,4
Sam Young,https://www.basketball-reference.com/players/y/youngsa01.html,2010,24,4
Jeff Adrien,https://www.basketball-reference.com/players/a/adrieje01.html,2011,24,5
Solomon Alabi,https://www.basketball-reference.com/players/a/alabiso01.html,2011,22,2
Cole Aldrich,https://www.basketball-reference.com/players/a/aldrico01.html,2011,22,8
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,2011,20,11
James Anderson,https://www.basketball-reference.com/players/a/anderja01.html,2011,21,5
Ömer Aşık,https://www.basketball-reference.com/players/a/asikom01.html,2011,24,8
Luke Babbitt,https://www.basketball-reference.com/players/b/babbilu01.html,2011,21,8
Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html,2011,21,12
Trevor Booker,https://www.basketball-reference.com/players/b/booketr01.html,2011,23,8
Craig Brackins,https://www.basketball-reference.com/players/b/brackcr01.html,2011,23,2
Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html,2011,20,12
Derrick Caracter,https://www.basketball-reference.com/players/c/caracde01.html,2011,22,1
Sherron Collins,https://www.basketball-reference.com/players/c/collish01.html,2011,23,1
Marcus Cousin,https://www.basketball-reference.com/players/c/cousima01.html,2011,24,1
DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html,2011,20,11
Jordan Crawford,https://www.basketball-reference.com/players/c/crawfjo02.html,2011,22,6
Ed Davis,https://www.basketball-reference.com/players/d/davised01.html,2011,21,12
Zabian Dowdell,https://www.basketball-reference.com/players/d/dowdeza01.html,2011,26,1
Devin Ebanks,https://www.basketball-reference.com/players/e/ebankde01.html,2011,21,3
Semih Erden,https://www.basketball-reference.com/players/e/erdense01.html,2011,24,2
Jeremy Evans,https://www.basketball-reference.com/players/e/evansje01.html,2011,23,7
Patrick Ewing,https://www.basketball-reference.com/players/e/ewingpa02.html,2011,26,1
Christian Eyenga,https://www.basketball-reference.com/players/e/eyengch01.html,2011,21,2
Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html,2011,19,12
Landry Fields,https://www.basketball-reference.com/players/f/fieldla01.html,2011,22,5
Gary Forbes,https://www.basketball-reference.com/players/f/forbega01.html,2011,25,2
Paul George,https://www.basketball-reference.com/players/g/georgpa01.html,2011,20,15
Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html,2011,21,13
Luke Harangody,https://www.basketball-reference.com/players/h/haranlu01.html,2011,23,2
Manny Harris,https://www.basketball-reference.com/players/h/harrima01.html,2011,21,4
Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html,2011,20,14
Lazar Hayward,https://www.basketball-reference.com/players/h/haywala01.html,2011,24,3
Xavier Henry,https://www.basketball-reference.com/players/h/henryxa01.html,2011,19,5
Damion James,https://www.basketball-reference.com/players/j/jamesda01.html,2011,23,4
Eugene Jeter,https://www.basketball-reference.com/players/j/jetereu01.html,2011,27,1
Armon Johnson,https://www.basketball-reference.com/players/j/johnsar02.html,2011,21,2
Chris Johnson,https://www.basketball-reference.com/players/j/johnsch03.html,2011,25,3
Wesley Johnson,https://www.basketball-reference.com/players/j/johnswe01.html,2011,23,9
Dominique Jones,https://www.basketball-reference.com/players/j/jonesdo02.html,2011,22,3
Gani Lawal,https://www.basketball-reference.com/players/l/lawalga01.html,2011,22,1
Jeremy Lin,https://www.basketball-reference.com/players/l/linje01.html,2011,22,9
Greg Monroe,https://www.basketball-reference.com/players/m/monrogr01.html,2011,20,10
Timofey Mozgov,https://www.basketball-reference.com/players/m/mozgoti01.html,2011,24,8
Hamady N'Diaye,https://www.basketball-reference.com/players/n/ndiayha01.html,2011,24,3
Gary Neal,https://www.basketball-reference.com/players/n/nealga01.html,2011,26,7
Larry Owens,https://www.basketball-reference.com/players/o/owensla01.html,2011,28,2
Patrick Patterson,https://www.basketball-reference.com/players/p/pattepa01.html,2011,21,11
Nikola Peković,https://www.basketball-reference.com/players/p/pekovni01.html,2011,25,6
Dexter Pittman,https://www.basketball-reference.com/players/p/pittmde01.html,2011,22,4
Quincy Pondexter,https://www.basketball-reference.com/players/p/pondequ01.html,2011,22,7
