name,url,rookie_year,rookie_age,years_played
Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html,2010,21,12
Garrett Temple,https://www.basketball-reference.com/players/t/templga01.html,2010,23,15
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,2011,20,11
Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html,2011,21,12
Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html,2011,20,12
DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html,2011,20,11
Ed Davis,https://www.basketball-reference.com/players/d/davised01.html,2011,21,12
Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html,2011,19,12
Paul George,https://www.basketball-reference.com/players/g/georgpa01.html,2011,20,15
Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html,2011,21,13
Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html,2011,20,14
Greg Monroe,https://www.basketball-reference.com/players/m/monrogr01.html,2011,20,10
Patrick Patterson,https://www.basketball-reference.com/players/p/pattepa01.html,2011,21,11
Ish Smith,https://www.basketball-reference.com/players/s/smithis01.html,2011,22,14
Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html,2011,20,10
Evan Turner,https://www.basketball-reference.com/players/t/turneev01.html,2011,22,10
John Wall,https://www.basketball-reference.com/players/w/walljo01.html,2011,20,11
Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html,2011,21,10
Bismack Biyombo,https://www.basketball-reference.com/players/b/biyombi01.html,2012,19,14
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,2012,20,14
Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,2012,22,14
Enes Freedom,https://www.basketball-reference.com/players/k/kanteen01.html,2012,19,11
Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html,2012,19,14
Kyrie Irving,https://www.basketball-reference.com/players/i/irvinky01.html,2012,19,14
Reggie Jackson,https://www.basketball-reference.com/players/j/jacksre01.html,2012,21,14
Cory Joseph,https://www.basketball-reference.com/players/j/josepco01.html,2012,20,14
Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html,2012,20,13
E'Twaun Moore,https://www.basketball-reference.com/players/m/mooreet01.html,2012,22,10
Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html,2012,22,13
Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html,2012,22,14
Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html,2012,21,12
Iman Shumpert,https://www.basketball-reference.com/players/s/shumpim01.html,2012,21,10
Isaiah Thomas,https://www.basketball-reference.com/players/t/thomais02.html,2012,22,12
Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html,2012,21,12
Tristan Thompson,https://www.basketball-reference.com/players/t/thomptr01.html,2012,20,13
Nikola Vučević,https://www.basketball-reference.com/players/v/vucevni01.html,2012,21,14
Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html,2012,21,12
Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,2013,20,13
Will Barton,https://www.basketball-reference.com/players/b/bartowi01.html,2013,22,11
Kent Bazemore,https://www.basketball-reference.com/players/b/bazemke01.html,2013,23,10
Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html,2013,19,13
Patrick Beverley,https://www.basketball-reference.com/players/b/beverpa01.html,2013,24,12
Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html,2013,22,13
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,2013,19,13
Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html,2013,19,13
Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html,2013,20,12
Draymond Green,https://www.basketball-reference.com/players/g/greendr01.html,2013,22,13
Maurice Harkless,https://www.basketball-reference.com/players/h/harklma01.html,2013,19,10
Justin Holiday,https://www.basketball-reference.com/players/h/holidju01.html,2013,23,11
Jeremy Lamb,https://www.basketball-reference.com/players/l/lambje01.html,2013,20,10
Meyers Leonard,https://www.basketball-reference.com/players/l/leoname01.html,2013,20,10
Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html,2013,22,13
Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html,2013,21,13
Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html,2013,20,11
